cell,segment_id,start_time,end_time,n_samples,duration_s,integrated_ah,mean_abs_current_A,assigned_rate_C,Q_ref_Ah,SOC_end_from_Qref
A1,2,2024-02-16T18:41:45.000,2024-02-16T19:42:09.000,6499,3623.999999999997,10.064966175149626,9.997279151137068,1.0,10.28531298399785,0.0214234422609252
A1,5,2024-02-16T22:33:34.000,2024-02-16T23:34:18.633,6543,3644.632999999997,10.121296242348908,9.996393208264456,1.0,10.28531298399785,0.015946694272126
A1,8,2024-02-17T02:16:20.000,2024-02-17T03:16:57.000,6525,3636.999999999997,10.101059018923428,9.9964998181855,1.0,10.28531298399785,0.0179142788713468
A1,10,2024-02-17T04:36:05.090,2024-02-17T05:36:16.000,6478,3610.9099999999976,10.029136918007437,9.99850749856908,1.0,10.28531298399785,0.0249069781725631
A1,12,2024-02-17T06:55:28.000,2024-02-17T07:55:39.484,6484,3611.4839999999967,10.030446660601784,9.996587370887172,1.0,10.28531298399785,0.0247796371187335
A1,14,2024-02-17T09:14:56.000,2024-02-17T10:15:06.000,6475,3609.999999999997,10.025097356010551,9.99579900351462,1.0,10.28531298399785,0.0252997286900407
A1,16,2024-02-17T11:34:19.160,2024-02-17T13:35:46.676,13076,7287.515999999998,10.12015089513445,4.999045629560968,0.5,10.28531298399785,0.0160580518181957
A1,18,2024-02-17T15:51:48.836,2024-02-17T17:53:21.000,13082,7292.163999999998,10.127414245100802,4.999413674295907,0.5,10.28531298399785,0.0153518652415061
A1,20,2024-02-17T20:09:34.551,2024-02-17T22:11:13.000,13095,7298.448999999995,10.13678868356966,4.999871734496641,0.5,10.28531298399785,0.0144404259412685
A1,22,2024-02-18T00:27:38.000,2024-02-18T02:29:15.078,13093,7297.077999999995,10.13411113334271,4.999326358147487,0.5,10.28531298399785,0.014700753481239
A1,24,2024-02-18T06:11:08.000,2024-02-18T11:17:24.000,32957,18376.00000000007,10.20936980542839,2.0000218108452765,0.2,10.28531298399785,0.0073836526596336
A1,26,2024-02-18T16:32:20.000,2024-02-18T21:39:21.547,33051,18421.54700000008,10.233470192359896,1.999817709483733,0.2,10.28531298399785,0.0050404680653481
A1,28,2024-02-19T02:54:52.000,2024-02-19T08:02:11.000,33066,18439.000000000076,10.243878901014858,1.9999961479217827,0.2,10.28531298399785,0.0040284707959258
A1,30,2024-02-19T13:18:02.750,2024-02-19T18:25:38.000,33101,18455.25000000005,10.253775023513011,2.000126487493159,0.2,10.28531298399785,0.0030663102361498
A2,2,2024-02-16T19:34:21.000,2024-02-16T20:32:10.008,6222,3469.007999999998,9.63634212122068,10.00003961499922,1.0,10.27040649926079,0.0617370284307391
A2,5,2024-02-16T23:45:42.000,2024-02-17T00:43:43.145,6250,3481.1449999999963,9.669809123024825,9.9990139974611,1.0,10.27040649926079,0.0584784425308962
A2,8,2024-02-17T03:48:26.000,2024-02-17T04:46:21.020,6235,3475.02,9.650202796675284,9.996183250660447,1.0,10.27040649926079,0.0603874542482953
A2,10,2024-02-17T06:27:13.945,2024-02-17T07:24:41.000,6186,3447.0549999999985,9.573535156484535,9.996512037096249,1.0,10.27040649926079,0.0678523623019606
A2,12,2024-02-17T09:05:39.340,2024-02-17T10:03:01.000,6174,3441.6599999999967,9.558047297408024,9.996448455936772,1.0,10.27040649926079,0.0693603706828973
A2,16,2024-02-17T14:21:09.000,2024-02-17T16:20:45.000,12876,7175.999999999997,9.965960314406708,4.999581683362967,0.5,10.27040649926079,0.0296430511174017
A2,18,2024-02-17T18:50:33.125,2024-02-17T20:50:21.000,12891,7187.8749999999945,9.982424375376208,4.999557306940914,0.5,10.27040649926079,0.0280399927602974
A2,20,2024-02-17T23:20:22.000,2024-02-18T01:20:12.000,12904,7189.999999999996,9.98497606178788,4.999369221653342,0.5,10.27040649926079,0.027791542378917
A2,22,2024-02-18T03:50:32.000,2024-02-18T05:50:24.008,12895,7192.007999999996,9.98725636836308,4.998843658859976,0.5,10.27040649926079,0.0275695154732279
A2,24,2024-02-18T09:35:11.000,2024-02-18T14:39:25.109,32736,18254.10900000005,10.141688142847316,2.0000385123419258,0.2,10.27040649926079,0.0125329368825604
A2,26,2024-02-18T19:59:25.000,2024-02-19T01:04:28.676,32834,18303.676000000065,10.169235506812162,2.000137538672859,0.2,10.27040649926079,0.0098507291270223
A2,28,2024-02-19T06:24:41.469,2024-02-19T11:29:57.000,32848,18315.53100000005,10.17354412371379,1.999604750482105,0.2,10.27040649926079,0.009431211467041
P1,2,2024-02-16T19:52:53.730,2024-02-16T20:50:46.191,6231,3472.4609999999966,9.644680979915831,9.998238012641004,1.0,10.884552218263446,0.1139110928483767
P1,5,2024-02-17T00:28:55.742,2024-02-17T01:27:01.000,6257,3485.257999999997,9.68021892343421,9.996729395446431,1.0,10.884552218263446,0.1106461038248735
P1,8,2024-02-17T04:43:14.000,2024-02-17T05:41:07.391,6232,3473.3909999999973,9.646916794610677,9.997410866036816,1.0,10.884552218263446,0.1137056811189817
