direction,held_out_profile,model,n_seeds,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,Q95_AE_mean,MaxAE_mean
1C_to_2C,HWFET,IUW-TCN,5,0.03321428541094058,0.0259703350284673,0.050081905736625,0.04388681432589915,0.9613867402076721,0.1162403024733066,0.17934489548206328
1C_to_2C,LA92,IUW-TCN,5,0.014193400833755702,0.008367940725777926,0.028626998569411383,0.024336364901901865,0.9861109018325805,0.0703610092401504,0.16771049499511714
1C_to_2C,NEDC,IUW-TCN,5,0.011374024860560819,0.003263274937729177,0.02124054040961276,0.00845057479866556,0.9950710892677307,0.03909226879477496,0.16760336458683012
1C_to_2C,NYCC,IUW-TCN,5,0.01660322677344078,0.005634965841464518,0.02638790978638792,0.00922916479570366,0.991772198677063,0.05864770859479899,0.17505180835723877
1C_to_2C,US06,IUW-TCN,5,0.02148850634694096,0.012570582967211386,0.03291864080235934,0.02117360406702352,0.9858270168304444,0.0740099377930164,0.15091302096843714
1C_to_2C,WLTC,IUW-TCN,5,0.01084851641207928,0.005067409425630809,0.022949759571151602,0.013463202564591988,0.9939647674560547,0.04989688694477078,0.13897251784801481
2C_to_1C,HWFET,IUW-TCN,5,0.00445604259148234,0.001192913828522821,0.00544402741600108,0.0011663858661713985,0.999686884880066,0.01011247821152204,0.01866912245750422
2C_to_1C,LA92,IUW-TCN,5,0.0077276553958654,0.0026582046146821745,0.00941519145506212,0.0026515785086286335,0.9989307403564454,0.01726015228778118,0.028631079196929858
2C_to_1C,NEDC,IUW-TCN,5,0.018569252453744363,0.003598884797582475,0.02254560356803656,0.004572134262391896,0.994430947303772,0.0411430306732654,0.05322654545307156
2C_to_1C,NYCC,IUW-TCN,5,0.0088628184981644,0.004257514319564599,0.010926241082175039,0.004332448663697026,0.9984616279602051,0.019879393279552397,0.035833856463432276
2C_to_1C,US06,IUW-TCN,5,0.00414426866918798,0.0006209211501370065,0.0052636912959026,0.0006953253716776486,0.9997039198875427,0.01055711880326266,0.018741819262504518
2C_to_1C,WLTC,IUW-TCN,5,0.00457936152815812,0.0008797379916600222,0.0056588007432262204,0.0010306381718646097,0.9996642827987671,0.0108258575201034,0.01964756846427914
