scope,model,n_rows,n_seeds,MAE_mean,MAE_std_rowlevel,seed_cluster_bootstrap95_lo,seed_cluster_bootstrap95_hi,seed_mean_MAE_std
overall,IUW-TCN,60,5,0.013005113314526726,0.011679544817646718,0.00960669488025203,0.016767469909973392,0.004621044157801637
1C_to_2C,IUW-TCN,30,5,0.01795366010628635,0.013967846664103705,0.011367329272131068,0.025734099559485864,0.00957947773178253
2C_to_1C,IUW-TCN,30,5,0.0080565665227671,0.005635741447283148,0.00689192176796491,0.00922121127756929,0.0015336168512600143
