direction,MAE_mean,MAE_std,Q95_AE_mean,Q95_AE_std,sigma_pm_each_wavelength
1C_to_2C,0.017953660106286354,0.013967846664103705,0.06804135230680303,0.06084865432634099,0.0
1C_to_2C,0.01797206100076432,0.013782377991956732,0.06808551968385772,,0.5
1C_to_2C,0.01802579675801093,0.013772314044552649,0.06817117554446056,,1.0
1C_to_2C,0.018252909742295695,0.013767796127269291,0.06852994697789347,,2.0
2C_to_1C,0.0080565665227671,0.005635741447283147,0.01829633846258118,0.011811908009332206,0.0
2C_to_1C,0.00807784839222824,0.0055537291642571394,0.018388321405897492,,0.5
2C_to_1C,0.008144159571578054,0.005531787780632292,0.01862551939984158,,1.0
2C_to_1C,0.008424505628645369,0.0054818332858804384,0.019508640617132138,,2.0
