direction,model,n,MAE_mean,MAE_std,RMSE_mean,R2_mean,Q95_AE_mean,MaxAE_mean,MAE_mean_pct,MAE_std_pct,RMSE_mean_pct,Q95_AE_mean_pct,MaxAE_mean_pct
1C_to_2C,VI+TF,30,0.017701975225160472,0.015620827973100009,0.030512659574986018,0.9845934291680654,0.06751390841479098,0.15174828469753263,1.7701975225160471,1.5620827973100009,3.0512659574986016,6.751390841479098,15.174828469753262
1C_to_2C,VI+W,30,0.017953659050787437,0.013967816191014844,0.030367622964207062,0.9856888035933177,0.06804135336230194,0.16326597332954404,1.7953659050787436,1.3967816191014844,3.036762296420706,6.8041353362301935,16.326597332954403
1C_to_2C,VI,30,0.02162425401620561,0.019009095132272523,0.03823580063106393,0.9770201643308004,0.0877960963795582,0.18732882837454473,2.162425401620561,1.9009095132272522,3.823580063106393,8.779609637955819,18.732882837454472
2C_to_1C,VI,30,0.004637852757393023,0.0017707014785412888,0.005782106511242753,0.9995873212814331,0.011271090075994479,0.01802635906885063,0.4637852757393023,0.1770701478541289,0.5782106511242754,1.1271090075994479,1.8026359068850628
2C_to_1C,VI+TF,30,0.004925676435232107,0.0015851186228536046,0.006054374715786691,0.9995690643787384,0.01153127932921047,0.02105491564919546,0.4925676435232107,0.15851186228536046,0.6054374715786691,1.153127932921047,2.105491564919546
2C_to_1C,VI+W,30,0.008056550263427154,0.0056356918833412,0.00987557284920319,0.9984797398249309,0.018296292765686856,0.029125000039736386,0.8056550263427155,0.56356918833412,0.9875572849203189,1.8296292765686857,2.9125000039736384
ALL,VI+TF,60,0.01131382583019629,0.012754308226820818,0.018283517145386355,0.9920812467734019,0.03952259387200073,0.08640160017336404,1.131382583019629,1.2754308226820819,1.8283517145386354,3.952259387200073,8.640160017336404
ALL,VI+W,60,0.013005104657107296,0.011679518424873603,0.020121597906705126,0.9920842717091243,0.0431688230639944,0.0961954866846402,1.3005104657107296,1.1679518424873603,2.0121597906705126,4.316882306399441,9.61954866846402
ALL,VI,60,0.013131053386799317,0.01589052525431525,0.022008953571153345,0.9883037428061168,0.04953359322777633,0.10267759372169769,1.3131053386799316,1.5890525254315249,2.2008953571153347,4.953359322777633,10.267759372169769
