direction,model,n,MAE_mean,MAE_std,RMSE_mean,R2_mean,Q95_AE_mean,MaxAE_mean,MAE_mean_pct,MAE_std_pct,RMSE_mean_pct,Q95_AE_mean_pct,MaxAE_mean_pct
1C_to_2C,GRU,6,0.010592854969824301,0.004249463837418821,0.0136650702489379,0.9980039298534393,0.028359835656980633,0.04098250841101007,1.0592854969824301,0.4249463837418821,1.36650702489379,2.835983565698063,4.098250841101007
1C_to_2C,LSTM,6,0.011217899853363583,0.0037571750570030292,0.0152675184825259,0.9975327650705973,0.033290293999016236,0.054417175551255505,1.1217899853363582,0.37571750570030293,1.52675184825259,3.3290293999016236,5.4417175551255506
1C_to_2C,RA-FBG-TCN,6,0.011629070776204233,0.005224849392768075,0.01757129089777198,0.9964944223562876,0.04047693467388545,0.07535864040255542,1.1629070776204233,0.5224849392768075,1.757129089777198,4.0476934673885445,7.535864040255542
1C_to_2C,CNN,6,0.012741225849216118,0.005983255971299617,0.01739219009037875,0.9965840975443522,0.0355337507401903,0.06496922423442199,1.2741225849216118,0.5983255971299617,1.7392190090378752,3.55337507401903,6.496922423442199
1C_to_2C,DualTCN-Transformer,6,0.012882082412640198,0.0037609823095759005,0.019456862591293384,0.9960982402165731,0.04381552431732411,0.08092820271849628,1.2882082412640197,0.37609823095759004,1.9456862591293385,4.381552431732412,8.092820271849629
1C_to_2C,Transformer,6,0.0202468538967271,0.012154038800614506,0.029439254543796905,0.9893300632635752,0.06047948605070508,0.1345070550839106,2.02468538967271,1.2154038800614506,2.9439254543796904,6.047948605070507,13.450705508391058
1C_to_2C,CGA-Matched,6,0.020353197120130034,0.009550754288721342,0.03147990732760745,0.9892923335234324,0.07105735316872593,0.10897319515546161,2.0353197120130035,0.9550754288721341,3.147990732760745,7.105735316872592,10.897319515546162
2C_to_1C,RA-FBG-TCN,6,0.005653023797397767,0.00294827430574516,0.007135353665041384,0.9993464450041453,0.014044340699911067,0.024811528002222315,0.5653023797397767,0.294827430574516,0.7135353665041384,1.4044340699911066,2.4811528002222314
2C_to_1C,DualTCN-Transformer,6,0.007317190524190599,0.0034598813121877302,0.008762632769191982,0.999034066994985,0.01572245848365125,0.02257299174865082,0.7317190524190599,0.34598813121877303,0.8762632769191983,1.572245848365125,2.2572991748650817
2C_to_1C,CGA-Matched,6,0.007488126711298966,0.0034978167677007723,0.009353677955812883,0.9989168643951416,0.018250014943381136,0.026807576417922918,0.7488126711298966,0.3497816767700772,0.9353677955812884,1.8250014943381137,2.680757641792292
2C_to_1C,CNN,6,0.00756572706935305,0.0038896796843922335,0.009440785867446467,0.9988309045632681,0.018332682084292118,0.030805490911006882,0.756572706935305,0.3889679684392233,0.9440785867446467,1.8332682084292118,3.0805490911006883
2C_to_1C,GRU,6,0.0076164241181686,0.004330719829099795,0.009288313627549033,0.998835414648056,0.017188558354973748,0.023856699466705267,0.76164241181686,0.4330719829099795,0.9288313627549033,1.7188558354973749,2.385669946670527
2C_to_1C,LSTM,6,0.008477952796965784,0.005246528690122552,0.010259476861844967,0.9985023736953735,0.018859049770981014,0.026341743767261467,0.8477952796965784,0.5246528690122553,1.0259476861844967,1.8859049770981013,2.6341743767261465
2C_to_1C,Transformer,6,0.01128132152371105,0.004520842101808559,0.013608668210443849,0.9977448781331381,0.024948340530196785,0.03588163355986273,1.128132152371105,0.45208421018085587,1.3608668210443848,2.4948340530196784,3.5881633559862727
ALL,RA-FBG-TCN,12,0.008641047286801,0.005108782769753528,0.012353322281406683,0.9979204336802164,0.02726063768689826,0.050085084202388865,0.8641047286801,0.5108782769753528,1.2353322281406682,2.726063768689826,5.008508420238886
ALL,GRU,12,0.00910463954399645,0.004375996588440854,0.011476691938243466,0.9984196722507477,0.02277419700597719,0.03241960393885767,0.910463954399645,0.4375996588440854,1.1476691938243466,2.277419700597719,3.241960393885767
ALL,LSTM,12,0.009847926325164683,0.004579937158578536,0.012763497672185433,0.9980175693829855,0.026074671884998624,0.04037945965925848,0.9847926325164683,0.4579937158578536,1.2763497672185433,2.6074671884998626,4.037945965925848
ALL,DualTCN-Transformer,12,0.0100996364684154,0.004507396934002841,0.014109747680242682,0.997566153605779,0.029768991400487683,0.05175059723357355,1.00996364684154,0.4507396934002841,1.4109747680242681,2.976899140048768,5.175059723357355
ALL,CNN,12,0.010153476459284584,0.005518581530424966,0.013416487978912608,0.9977075010538101,0.02693321641224121,0.04788735757271443,1.0153476459284585,0.5518581530424966,1.3416487978912608,2.693321641224121,4.788735757271443
ALL,CGA-Matched,12,0.0139206619157145,0.009600133796379333,0.020416792641710164,0.994104598959287,0.04465368405605353,0.06789038578669226,1.39206619157145,0.9600133796379332,2.0416792641710164,4.465368405605353,6.789038578669226
ALL,Transformer,12,0.015764087710219074,0.009917549525858578,0.021523961377120374,0.9935374706983566,0.04271391329045093,0.08519434432188666,1.5764087710219075,0.9917549525858579,2.1523961377120373,4.271391329045093,8.519434432188666
